disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
AD	3.2745491628777317	0.05	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.05	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	22.607022476973597	-1.2422945250945006e-05	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	23.618080745425416	-5.8759763266857945e-05	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	21.447697780251385	-0.007087533613738595	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	23.642325843523572	-0.00031252776427415085	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	21.96563997268138	-0.0017954129892410187	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	23.16634257117313	-0.0033499934057967806	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	21.51657249576213	-0.0038203864661257025	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	23.09760275331744	-3.297512566002858e-05	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	21.35773117752542	-0.000469847826229719	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.01	0.0	22.1320625611756	-8.380306515398672e-08	3.27455-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.2745491628777317	0.005	0.07800866993532313	22.60694613463118	-9.045972857002482e-06	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.02160475784521348	23.618042997555957	-5.71614078406224e-05	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.0946035641213679	21.44761813737568	-0.0070837939420922424	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.09538365314071152	23.64225027805513	-0.00030933057101778516	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.11000455429642042	21.96556476550301	-0.0017919829864543324	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.07467020162866411	23.166264519017002	-0.003346612914029823	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.04684484960369607	21.516512198634096	-0.0038175734025498453	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.07441009839337205	23.097537541608652	-3.0151721870153025e-05	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.03341088636464366	21.35769249558228	-0.0004680358304964827	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.005	0.054628562119014	22.131992152307227	3.097503425419923e-06	3.27455-0.00500	-0.0016910591245782869	0.06835697974484264	22.45504212202702
AD	3.2745491628777317	0.001	0.12359960719993511	22.606328771422973	1.8262836974480834e-05	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.03197957602183652	23.61784789539469	-4.890021051795479e-05	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.10134621275257431	21.447066659368918	-0.007057899012419266	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.12576382283017246	23.641561103733935	-0.00028017143871128525	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.11652572884362689	21.964956475234164	-0.0017642404575841653	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.10324180842634098	23.165719984762084	-0.0033230287664933744	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.05890837720053805	21.516198585299126	-0.0038029422869680918	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.12366224560361526	23.09690000404042	-2.548918327294203e-06	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.03560682033448411	21.357512105861417	-0.00045958575332849527	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
AD	3.2745491628777317	0.001	0.06867517199394942	22.131595488363477	2.1020097665913617e-05	3.27455-0.00100	-0.0016700033909709533	0.0889309371207073	22.45456870734812
